key,alt,answer,audio
飲茶,"yǐnchá (飲茶, 饮茶)",drink tea,top9/140.mp3
李遠哲,"lǐyuǎnzhé (李遠哲, 李远哲)","Yuan Tseh Lee, Nobel laureate",top9/141.mp3
活生生,"huóshēngshēng (活生生, 活生生)","actually, really, while still alive, real, in real life, actual, living",top9/142.mp3
國軍,"guójūn (國軍, 国军)",armed forces of Republic of China,top9/143.mp3
青菜,"qīngcài (青菜, 青菜)","greengrocery, vegetable, greenstuff, green vegetables, greens, Chinese cabbage, vegetables, pakchoi, Ch. cabbage",top9/144.mp3
幽浮,"yōufú (幽浮, 幽浮)",UFO,top9/145.mp3
虐待,"nuèdài (虐待, 虐待)","maltreat, tyrannize, abuse",top9/146.mp3
准,"zhǔn (准, 准)","allow, grant, permit",top9/147.mp3
為數,"wéishù (為數, 为数)","amount to, number",top9/148.mp3
面對面,"miànduìmiàn (面對面, 面对面)",face to face,top9/149.mp3
組,"zǔ (組, 组)","form, make up into , compose",top9/150.mp3
細部,"xìbù (細部, 细部)",detail of drawing,top9/151.mp3
堂哥,"tánggē (堂哥, 堂哥)",elder male cousin with same surname,top9/152.mp3
素養,"sùyǎng (素養, 素养)","accomplishment, attainment",top9/153.mp3
掃,"sǎo (掃, 扫)","sweep, sweep away",top9/154.mp3
理事,"lǐshì (理事, 理事)","trustee, senator, manager, directorate, commissioner, director, governor, council member, board member, syndic, administrator",top9/155.mp3
放入,"fàngrù (放入, 放入)","interpose, load into, include",top9/156.mp3
高漲,"gāozhǎng (高漲, 高涨)","rise, surge up, run high",top9/157.mp3
商務,"shāngwù (商務, 商务)",business affairs,top9/158.mp3
能幹,"nénggàn (能幹, 能干)","able minded, competent",top9/159.mp3
核能,"hénéng (核能, 核能)","nuclear_power, nuclear energy, atomic power, atomic energy, nuclear_energy, nuclear power",top9/160.mp3
造訪,"zàofǎng (造訪, 造访)","pay visit, call on",top9/161.mp3
通,"tōng (通, 通)","communicate/connect with , join, share, be interchangeable with...",top9/162.mp3
淚水,"lèishuǐ (淚水, 泪水)","tear, tear drops",top9/163.mp3
教育部長,"jiàoyūbùzhǎng (教育部長, 教育部长)",minister of Education,top9/164.mp3
時而,"shíér (時而, 时而)","from time to time, sometimes, now...now, sometimes...sometimes",top9/165.mp3
雪梨,"xuělí (雪梨, 雪梨)",Sydney,top9/166.mp3
快要,"kuàiyào (快要, 快要)","in a short time, promptly, at once, instantly, pronto, immediately, shortly, without delay, tout de suite, right away, forthwith, soon, in a few seconds, before long, straightaway, in a minute, in no time",top9/167.mp3
合理化,"hélǐhuà (合理化, 合理化)",rationalize,top9/168.mp3
佔領,"zhànlǐng (佔領, 佔领)","occupy, possess, hold, invade, seize, seizure, occupation, capture, conquer, take over",top9/169.mp3
汽機車,"qìjīchē (汽機車, 汽机车)",vehicle,top9/170.mp3
批准,"pīzhǔn (批准, 批准)","ratify, approve, sanction",top9/171.mp3
刺激,"cìjī (刺激, 刺激)",provoking,top9/172.mp3
西德,"xīdé (西德, 西德)",West Germany,top9/173.mp3
份量,"fènliàng (份量, 份量)","percentage, weight, quantity",top9/174.mp3
合同,"hétong (合同, 合同)","bond, paction, covenant, bargain, compact, agreement, indenture, contract, whiz",top9/175.mp3
似,"sì (似, 似)",seem,top9/176.mp3
村莊,"cūnzhuāng (村莊, 村庄)","small town, village, thorpe, wick, settlement, thorp, hamlet",top9/177.mp3
那裡,"nàlǐ (那裡, 那里)",how could it be possible?,top9/178.mp3
洞穴,"dòngxuè (洞穴, 洞穴)","cavern, grotto, scoop, subterranean, pocket, cave, subterrane, burrow, mine, souterrain, pothole, opening",top9/179.mp3
老化,"lǎohuà (老化, 老化)","age, grow older",top9/180.mp3
風光,"fēngguāng (風光, 风光)",grand,top9/181.mp3
走過去,"zǒuguòqù (走過去, 走过去)",walk to,top9/182.mp3
伸,"shēn (伸, 伸)","extend, crane, stretch, extension",top9/183.mp3
免於,"miǎnyú (免於, 免于)","avoid, fend off, debar, head off, cheat, avert, ward off, deflect, stave off, obviate",top9/184.mp3
房租,"fángzū (房租, 房租)","house rent, rent for house, rent for house/flat/etc. , etc.",top9/185.mp3
阿美族,"āměizú (阿美族, 阿美族)",Ami ethnic minority in Taiwan,top9/186.mp3
糾纏,"jiūchán (糾纏, 纠缠)","bug, be in a tangle, pester, shadow, imply, worry, beset, enlace, intertwine, beleaguer, badger, tease, besiege, mat, tangle, weave, lock, kink, entangle, snarl, haunt, nag, harass, pursue, get entangled",top9/187.mp3
放出,"fàngchū (放出, 放出)","radiate, emission, give_off, spew, give off, extricate, deflate, emit, expel, release, effuse, evolve, pay_out, let_out, give, discharge, let out, give out, eject, discard",top9/188.mp3
風箏,"fēngzhēng (風箏, 风筝)",kite,top9/189.mp3
放映,"fàngyìng (放映, 放映)","project film , screen, projection, project, show",top9/190.mp3
電,"diàn (電, 电)",give/get an electric shock,top9/191.mp3
改用,"gǎiyòng (改用, 改用)","change to use of sth., change use of sth.",top9/192.mp3
方位,"fāngwèi (方位, 方位)","AZ, aspect, quarter, exposure, position, trend, spatial relation, azimuth, points of the compass, direction, orientation, bearing",top9/193.mp3
頭銜,"tóuxián (頭銜, 头衔)","viscountcy, title, official title, inheritance, style, handle, doctorate, prefix",top9/194.mp3
碼,"mǎ (碼, 码)","sth. indicating number, code",top9/195.mp3
整,"zhěng (整, 整)","put in order, arrange, consolidate, repair, mend, do",top9/196.mp3
踏上,"tàshàng (踏上, 踏上)","tread on, step on",top9/197.mp3
憧憬,"chōngjǐng (憧憬, 憧憬)","long for, look forward to",top9/198.mp3
總務,"zǒngwù (總務, 总务)","general affairs,  person in charge of general affairs",top9/199.mp3
臺北縣,"táiběixiàn (臺北縣, 台北县)",Taipei County,top9/200.mp3
撞,"zhuàng (撞, 撞)","run into, strike, collide, meet by chance, rush, dash, dupe",top9/201.mp3
認清,"rènqīng (認清, 认清)","recognition, see clearly, see through to, get a clear understanding of, recognize",top9/202.mp3
出爐,"chūlú (出爐, 出炉)",come out of the oven,top9/203.mp3
期許,"qíxǔ (期許, 期许)","hope, expect",top9/204.mp3
子彈,"zǐdàn (子彈, 子弹)","musket ball, lead, shell, cartridge, bullet, ball, payload, slug",top9/205.mp3
嘗試,"chángshì (嘗試, 尝试)",try,top9/206.mp3
回流,"huíliú (回流, 回流)","regurgitate, refluent, regurgitation, backwash",top9/207.mp3
大肆,"dàsì (大肆, 大肆)",wantonly,top9/208.mp3
公演,"gōngyǎn (公演, 公演)",perform in public,top9/209.mp3
不慎,"búshèn (不慎, 不慎)","immodest, incautious",top9/210.mp3
外長,"wàizhǎng (外長, 外长)","Foreign Minister, exogenous, Minister of Foreign Affairs, foreign minister",top9/211.mp3
水電,"shuǐdiàn (水電, 水电)","hydropower, water and electricity",top9/212.mp3
心臟病,"xīnzàngbìng (心臟病, 心脏病)","heart trouble, heart disease, cardiopathy, heart_disease, heart condition",top9/213.mp3
巴格達,"bāgédá (巴格達, 巴格达)","Bagdad, Baghdad, capital of Iraq",top9/214.mp3
小販,"xiǎofàn (小販, 小贩)","wallah, hucksterer, grifter, hawker, Higgler, pedlar, coster, badger, vendor, chapman, peddler, roadman, faker",top9/215.mp3
公認,"gōngrèn (公認, 公认)","legalize, acknowledge generally, recognize, accept, generally acknowledge/recognize/accept, acknowledged, generally recognize/accept, generally acknowledge, vote",top9/216.mp3
瀑布,"pùbù (瀑布, 瀑布)","falls, linn, overfall, Niagara, waterfall, fall, cataract, chute, cascade, sault",top9/217.mp3
女郎,"nǔláng (女郎, 女郎)","young_girl, young lady, young woman, fille, girl, miss, missy, maiden",top9/218.mp3
意涵,"yìhán (意涵, 意涵)","meaning, implication, connotation",top9/219.mp3
須要,"xūyào (須要, 须要)","must, have to",top9/220.mp3
復興,"fùxīng (復興, 复兴)","revive, resurge, rejuvenate",top9/221.mp3
禁,"jìn (禁, 禁)",prohibit,top9/222.mp3
遇見,"yūjiàn (遇見, 遇见)","come across, encounter, come_across, forgather, meet, meet up with",top9/223.mp3
解說,"jiěshuō (解說, 解说)","comment, interpretation",top9/224.mp3
照射,"zhàoshè (照射, 照射)","shine on, light up",top9/225.mp3
景物,"jǐngwù (景物, 景物)",scenery,top9/226.mp3
量,"liáng (量, 量)","estimate, measure",top9/227.mp3
發洩,"fāxiè (發洩, 发泄)","exhale, give vent to, give vent, let off, ventilate, let_out, abreact, vent, wreak",top9/228.mp3
銜接,"xiánjiē (銜接, 衔接)","link up, join",top9/229.mp3
幹員,"gànyuán (幹員, 干员)",capable official,top9/230.mp3
順,"shùn (順, 顺)","smooth going, plain sailing, arrange, put in order",top9/231.mp3
開闊,"kāikuò (開闊, 开阔)","tolerant, open, widen, spacious, expansive",top9/232.mp3
質詢,"zhíxún (質詢, 质询)",request explanation,top9/233.mp3
熱絡,"rèluò (熱絡, 热络)",enthusiastic,top9/234.mp3
選取,"xuǎnqǔ (選取, 选取)",select,top9/235.mp3
圖畫,"túhuà (圖畫, 图画)","illustration, painting, picture, portrait, graphic, depiction, drawing",top9/236.mp3
盤旋,"pánxuán (盤旋, 盘旋)","circle, whorl, stay, linger, hover, twist, wheel, spiral, yaw, whirl, convolve",top9/237.mp3
餘地,"yūdì (餘地, 余地)","leeway, margin, room, latitude",top9/238.mp3
魚塭,"yūwēn (魚塭, 鱼塭)",fishpond,top9/239.mp3
感恩,"gǎnēn (感恩, 感恩)","feel grateful, be thankful",top9/240.mp3
雞蛋,"jīdàn (雞蛋, 鸡蛋)",hen's egg,top9/241.mp3
攤位,"tānwèi (攤位, 摊位)","stand,  booth,  stall",top9/242.mp3
嚼,"jué (嚼, 嚼)","chew,  munch",top9/243.mp3
驚喜,"jīngxǐ (驚喜, 惊喜)",be pleasantly surprised,top9/244.mp3
雜貨店,"záhuòdiàn (雜貨店, 杂货店)","grocery store, chandlery, drugstore, chandler, sundry store, grocery, bodega, grocery_store, general store",top9/245.mp3
法律系,"fǎlùxì (法律系, 法律系)",legal department,top9/246.mp3
鍵盤,"jiànpán (鍵盤, 键盘)","clavier, keyset, keyboard, fingerboard, piano keyboard, Klavier",top9/247.mp3
偶而,"ǒuér (偶而, 偶而)",occasionally,top9/248.mp3
虔誠,"qiánchéng (虔誠, 虔诚)","pious, devout",top9/249.mp3
偶然,"ǒurán (偶然, 偶然)","fortuitous, chance",top9/250.mp3
脈絡,"mòluò (脈絡, 脉络)","arteries and veins, vein of leaf/etc. , sequence of ideas",top9/251.mp3
耗費,"hàofèi (耗費, 耗费)","consume, expend",top9/252.mp3
抗原,"kàngyuán (抗原, 抗原)",antigen,top9/253.mp3
效用,"xiàoyòng (效用, 效用)","effectuality, service, efficiency, effectivity, help, value, effectualness, usefulness, utility, avail, effectiveness",top9/254.mp3
婚禮,"hūnlǐ (婚禮, 婚礼)",wedding ceremony,top9/255.mp3
起,"qǐ (起, 起)",start,top9/256.mp3
時髦,"shímáo (時髦, 时髦)","fashionable, in vogue",top9/257.mp3
情調,"qíngdiào (情調, 情调)","sentiment, tone and mood, taste",top9/258.mp3
係數,"xìshù (係數, 系数)","quotiety, coefficient, ingredient, factor, constituent, modulus, element, component",top9/259.mp3
這裏,"zhèlǐ (這裏, 这里)",here,top9/260.mp3
拍賣,"pāimài (拍賣, 拍卖)","auction, sell at reduced price",top9/261.mp3
盛況,"shèngkuàng (盛況, 盛况)","grand occation, spectacular event, pomp, grand occasion, eclat",top9/262.mp3
混淆,"hǔnyáo (混淆, 混淆)","blur, confuse, mix up",top9/263.mp3
國手,"guóshǒu (國手, 国手)",national contestant in chess/etc.,top9/264.mp3
窄,"zhǎi (窄, 窄)","narrow, petty, hard up",top9/265.mp3
神仙,"shénxiān (神仙, 神仙)",immortal,top9/266.mp3
時效,"shíxiào (時效, 时效)","effectiveness, aging, prescription, period of effectiveness",top9/267.mp3
頂多,"dǐngduō (頂多, 顶多)",at most/best,top9/268.mp3
連鎖,"liánsuǒ (連鎖, 连锁)",chain,top9/269.mp3
疼,"téng (疼, 疼)","hurt, ache, pain",top9/270.mp3
依循,"yīxún (依循, 依循)",follow,top9/271.mp3
任用,"rènyòng (任用, 任用)","appoint, assign to post",top9/272.mp3
沉重,"chénzhòng (沉重, 沉重)","heavy, serious",top9/273.mp3
來不及,"láibùjí (來不及, 来不及)",be too late to do sth.,top9/274.mp3
字眼,"zìyǎn (字眼, 字眼)","words, wording, diction",top9/275.mp3
作曲家,"zuòqǔjiā (作曲家, 作曲家)","tunesmith, harmonist, musician, songsmith, composer",top9/276.mp3
自強,"zìqiáng (自強, 自强)","improve oneself, self strengthening",top9/277.mp3
盯,"dīng (盯, 盯)","fix one's eyes on, gaze/stare at, gaze, stare at, gaze at",top9/278.mp3
前輩,"qiánbèi (前輩, 前辈)","senior in age/experience/etc. , elder, older generation",top9/279.mp3
疫苗,"yìmiáo (疫苗, 疫苗)","bacterin, inoculum, vaccine",top9/280.mp3
疲倦,"píjuàn (疲倦, 疲倦)","languid, weary, tire, tiredness, lassitude, languor, jade, tired, ennui",top9/281.mp3
巷,"xiàng (巷, 巷)","back street, lane, alleyway, alley",top9/282.mp3
服,"fú (服, 服)",take medicine,top9/283.mp3
政客,"zhèngkè (政客, 政客)","hack, politico, ward heeler, politician, political hack, machine politician, statist",top9/284.mp3
版權,"bǎnquán (版權, 版权)","right of first publication, copyright",top9/285.mp3
服氣,"fúqì (服氣, 服气)","be convinced, convince, feel things are fair",top9/286.mp3
服藥,"fúyào (服藥, 服药)",take medicine,top9/287.mp3
爭奪,"zhēngduó (爭奪, 争夺)","fight for, enter into rivalry over, campaign, agitate, contend for, fight, push, crusade, scramble, vie with sb. for sth.",top9/288.mp3
病例,"bìnglì (病例, 病例)","case of illness, case of illness , case",top9/289.mp3
信件,"xìnjiàn (信件, 信件)","correspondence, missive, mail, letters, post, letter",top9/290.mp3
票價,"piàojià (票價, 票价)","admission fee, the price of a ticket, entrance fee, ticket price, carfare",top9/291.mp3
長短,"chángduǎn (長短, 长短)","length, right and wrong, strong and weak points",top9/292.mp3
座位,"zuòwèi (座位, 座位)","perch, table, saddle, pew, place to sit, place, seat, locus",top9/293.mp3
上去,"shàngqù (上去, 上去)",go up,top9/294.mp3
預先,"yūxiān (預先, 预先)","in advance, beforehand",top9/295.mp3
實話,"shíhuà (實話, 实话)","true statement, truth, true story",top9/296.mp3
縣委,"xiànwěi (縣委, 县委)",county Party committee,top9/297.mp3
北區,"běiqū (北區, 北区)",northern area,top9/298.mp3
母,"mǔ (母, 母)",female of birds/animals/etc.,top9/299.mp3
而今,"érjīn (而今, 而今)",now,top9/300.mp3
互,"hù (互, 互)","mutually, each other, mutual, together",top9/301.mp3
下挫,"xiàcuò (下挫, 下挫)","fall, decline, decrease",top9/302.mp3
山頂,"shāndǐng (山頂, 山顶)","mountaintop, summit of a mountain, hilltop, top of a mountain, mountain top, knap, ben",top9/303.mp3
未知,"wèizhī (未知, 未知)",unknow,top9/304.mp3
打到,"dǎdào (打到, 打到)",hit the target,top9/305.mp3
淹沒,"yānmò (淹沒, 淹没)","engross, float, overshadow, deluge, submerse, inundate, overwhelm, die, flood, submerge, drench, deafen, bury, swallow up, flood out, swallow, drown, whelm, inundation, swamp, immerse, submergence, overwhelming, eat up",top9/306.mp3
地層,"dìcéng (地層, 地层)","measure, geological formation, formation, geology, bed, stratification, stratum, layer",top9/307.mp3
謀生,"móushēng (謀生, 谋生)","make a living, seek a livelihood, seek livelihood",top9/308.mp3
