key,alt,answer,audio
讀,"dú (讀, 读)","study, read, attend school, take, read aloud, read aloud , peruse",top2/44.mp3
以來,"yǐlái (以來, 以来)",since,top2/45.mp3
或許,"huòxǔ (或許, 或许)","possibly, in all probability, peradventure, conceivably, mayhap, likely, perhaps, perchance, probably, maybe, haply, in all likelihood, belike",top2/46.mp3
課,"kè (課, 课)","subject, course, class",top2/47.mp3
病人,"bìngrén (病人, 病人)","shut in, patient, subject, sufferer, case, valetudinarian, invalid",top2/48.mp3
實驗,"shíyàn (實驗, 实验)","experiment, test",top2/49.mp3
有時候,"yǒushíhòu (有時候, 有时候)","from time to time, on_occasion, occasionally, somewhile, otherwhile, now and again, sometimes, now and then, at times, on occasion, whiles, once in a while",top2/50.mp3
辦理,"bànlǐ (辦理, 办理)","handle, manage, attend, conduct, enact, transact, transaction",top2/51.mp3
部門,"bùmén (部門, 部门)","category, section, department, service, instrumentality, branch, realm, sector, ministry, province, divisional, classification, departmental, division",top2/52.mp3
類似,"lèisì (類似, 类似)","analogize, conform, analogic, be similar to, resemble, similar, analogous",top2/53.mp3
廣告,"guǎnggào (廣告, 广告)",advertisement,top2/54.mp3
送,"sòng (送, 送)","accompaniment, escort, see sb. off, see sb. off/out, to dispatch, see ... off, accompany, to deliver, send, direct, serve, guide, give as a present, deliver, see sb. out, see, lead, see ... out, conduct, give, to send, carry, delivery, carriage, take, hospitalize",top2/55.mp3
夠,"gòu (夠, 够)",be enough/sufficient/adequate,top2/56.mp3
新加坡,"xīnjiāpō (新加坡, 新加坡)",Singapore,top2/57.mp3
擔心,"dānxīn (擔心, 担心)","worry, feel anxious",top2/58.mp3
商業,"shāngyè (商業, 商业)","business enterprise, commercial, people, mercantilism, commercial pursuit, commercial enterprise, business sector, merchantry, trade, mercantile pursuit, business, commerce",top2/59.mp3
掌握,"zhǎngwò (掌握, 掌握)","take ... into one's hands, know well, master, have in hand, grasp, command, possess, control",top2/60.mp3
兩岸,"liǎngàn (兩岸, 两岸)","both sides of a river, both sides of the Taiwan Straits I.e.,  Chinese Mainland and Taiwan",top2/61.mp3
門,"mén (門, 门)","door, gate",top2/62.mp3
方案,"fāngàn (方案, 方案)","formula, plan, scheme, projection, programme, proposal, schema, strategy, project, design, program",top2/63.mp3
至少,"zhìshǎo (至少, 至少)","leastwise, leastways, at the least, at_least, only, fully, even a little, at least, at any rate, in the least, at least, at the least",top2/64.mp3
看法,"kànfǎ (看法, 看法)","side, view, mentality, idea, outlook, a way of looking at a thing, opinion, thought, sight, standpoint, hypothesis, attitude, hobbyhorse, viewpoint, possibility, theory, slant, pronouncement, way of looking at sth., thinking, supposition, supposal",top2/65.mp3
原本,"yuánběn (原本, 原本)","originally, formerly",top2/66.mp3
措施,"cuòshī (措施, 措施)","measure, demarche, corrective, move, step",top2/67.mp3
表現,"biǎoxiàn (表現, 表现)","show, display, show off",top2/68.mp3
社團,"shètuán (社團, 社团)","gild, college, lodge, association, organization, club, body of persons, society, mass organization, order, league, guild, confraternity, corporation",top2/69.mp3
九,"jiǔ (九, 九)",det.: nine,top2/70.mp3
展開,"zhǎnkāi (展開, 展开)","spread out, unfold, open up, launch, develop",top2/71.mp3
博士,"bóshì (博士, 博士)","Ph.D, master of any trade/craft, master of any craft, Dr., holder of doctoral degree, master of any trade, Erudite, doctoral, Doctor_of_Philosophy, Ph.D., court academician, craft, ""Erudite"", Doctor of Philosophy, doctor",top2/72.mp3
道路,"dàolù (道路, 道路)","track, path, runway, steps, route, course, toby, road, thoroughfare, way",top2/73.mp3
竟,"jìng (竟, 竟)",unexpectedly,top2/74.mp3
項目,"xiàngmù (項目, 项目)","event, head, item, particular, article, point, specific, entry, listing, clause, project",top2/75.mp3
需,"xū (需, 需)",need,top2/76.mp3
學院,"xuéyuàn (學院, 学院)","seminary, college, school, hall, institute, academy, faculty",top2/77.mp3
代表,"dàibiǎo (代表, 代表)","represent, indicate",top2/78.mp3
同意,"tóngyì (同意, 同意)","agree, consent, approve",top2/79.mp3
原住民,"yuánzhùmín (原住民, 原住民)",aborigine,top2/80.mp3
策略,"cèluè (策略, 策略)","coup, resource, enginery, wile, stratagem, gambit, practice, plant, diplomacy, artifice, trap, twist, tactical manoeuver, policy, game, mechanism, game plan, ambush, chicanery, finesse, lying in wait, maneuvering, joker, tactics, gimmick, manoeuvering, plan, device, art, tactical maneuver, maneuver, measure, play, tactic, manoeuvre, mechanics, tack, ambuscade, trickery, strategy, setup, r",top2/81.mp3
白,"bái (白, 白)","white, clear, pure, plain, wrongly written/mispronounced, ",top2/82.mp3
平均,"píngjūn (平均, 平均)",average,top2/83.mp3
所,"suǒ (所, 所)","place, office, bureau, institute",top2/84.mp3
靠,"kào (靠, 靠)",depend/rely on,top2/85.mp3
互相,"hùxiāng (互相, 互相)","mutual, each other, mutually, one another, reciprocally",top2/86.mp3
地位,"dìwèi (地位, 地位)","station, estate, importance, appointment, character, footing, capacity, chair, estate of the realm, level, situation, status, standing, position, spot, connection, space, sphere, quality, place, condition",top2/87.mp3
體育,"tǐyū (體育, 体育)","training, physical education, athletics, sports, gymnastic, physical_education, physical training, physical culture, physical education/training, gym",top2/88.mp3
樣,"yàng (樣, 样)",m.[kind],top2/89.mp3
亞洲,"yǎzhōu (亞洲, 亚洲)","Orient, Asian, Asia",top2/90.mp3
採取,"cǎiqǔ (採取, 采取)","operate, assume, adopt, accept, strike, take, take up, take over, borrow",top2/91.mp3
日,"rì (日, 日)",m.[standard],top2/92.mp3
畢業,"bìyè (畢業, 毕业)","graduate, finish school",top2/93.mp3
相同,"xiāngtóng (相同, 相同)","be identical/alike, uniform, be identical, overlap, alike, identical, be alike",top2/94.mp3
欣賞,"xīnshǎng (欣賞, 欣赏)","appreciate, enjoy, admire",top2/95.mp3
法律,"fǎlù (法律, 法律)","constitution, juridical, legal, jus, judiciary, statute law, law, codex, legislation, jurisprudence, lex, code, Themis, statute, judicial, practice of law, prescript, forensic, natural law",top2/96.mp3
詞,"cí (詞, 词)","vocable, words, phrase, a kind of poetry originating in Tang dyn, statement, a form of classical poetry, part of speech, speech, Ci,  Chinese poetry, term, word",top2/97.mp3
大型,"dàxíng (大型, 大型)",large size machines/factories/etc.,top2/98.mp3
中華,"zhōnghuá (中華, 中华)","the Chinese nation, China",top2/99.mp3
台大,"táidà (台大, 台大)","National Taiwan University, National Taiwan University Hospital",top2/100.mp3
意思,"yìsī (意思, 意思)","significance, token of infection, intention, interest, idea, trace, meaning, thought, opinion, substance, etc., import, a token of appreciation/etc., indirect request, wish, a token of affection, desire, appreciation, fun, signification, gratitude, sense, hint, a token of affection/appreciation/etc., suggestion, mind, intent",top2/101.mp3
在一起,"zàiyīqǐ (在一起, 在一起)",be togather,top2/102.mp3
係,"xì (係, 系)",be,top2/103.mp3
持續,"chíxù (持續, 持续)","perennate, hang on, carry_over, persist, steady, keep, carry over, keep on, proceed, stretch, carry_on, retain, sustain, persevere, continuity, endure, stay, continue, hang in, hold, maintain, run, span, go on, run for, last, go along, exist, hold on",top2/104.mp3
群,"qún (群, 群)",m.[general],top2/105.mp3
慢慢,"mànmàn (慢慢, 慢慢)",slowly; gradually,top2/106.mp3
高雄,"gāoxióng (高雄, 高雄)","Kaohsiung,  a city in Taiwan, Gaoxiong, Kaohsiung a city in Taiwan",top2/107.mp3
製造,"zhìzào (製造, 制造)","make, manufacture, engineer, create, fabricate",top2/108.mp3
醫療,"yīliáo (醫療, 医疗)","treat, cure",top2/109.mp3
邀請,"yāoqǐng (邀請, 邀请)",invite,top2/110.mp3
滿足,"mǎnzú (滿足, 满足)","fulfil, fit, cope with, fill, be satisfied/contented, gloat, contented, arrive, be satisfied, satisfy, sate, gratify, serve, meet, appease, replete, supply, satisfied, fulfill, suffice, assuage, satiate, content, be contented, conform to, suit, match",top2/111.mp3
速度,"sùdù (速度, 速度)","pacing, wings, rate, quickness, fastness, velocity, swiftness, lick, pace, rapidity, speed, career, tempo",top2/112.mp3
重點,"zhòngdiǎn (重點, 重点)","taproot, accent, emphasis, focal point, point, keystone, hinge, salient point, stress, gravity",top2/113.mp3
保存,"bǎocún (保存, 保存)","preserve, conserve, keep",top2/114.mp3
評估,"pínggū (評估, 评估)","estimate, evaluate",top2/115.mp3
限制,"xiànzhì (限制, 限制)",restrictiveness,top2/116.mp3
符合,"fúhé (符合, 符合)","fulfil, conform, fit, tally with, fill, come_up_to, cohere, satisfy, accord, coincide, assort, equate, answer, tally, consist, meet, be in keeping with, chime_in, fulfill, look, accord/tally with, relate, chime, live up to, square, accord with, conform to, correspond",top2/117.mp3
利益,"lìyì (利益, 利益)","privilege, profit, vantage, favor, interest, behoof, account, goodness, gain, increment, avail, boon, plus, commodity, lucre, advantage, stead, boot, benefit, welfare, good, asset, behalf, percentage, stake, favour",top2/118.mp3
組成,"zǔchéng (組成, 组成)","form, make up into , compose",top2/119.mp3
檢查,"jiǎnchá (檢查, 检查)","check, inspect, examine",top2/120.mp3
看見,"kànjiàn (看見, 看见)","seeing, behold, see, descry, show, perceive, lay eyes on, lamp, spy, show up, sight, catch sight of,  catch sight of",top2/121.mp3
瞭解,"liǎojiě (瞭解, 瞭解)","understand, comprehend, find out, acquaint oneself with",top2/122.mp3
立刻,"lìkè (立刻, 立刻)","in a short time, at_once, promptly, offhand, at once, anon, instantly, straightway, now, slapbang, pronto, right_away, immediately, without delay, right away, forthwith, presto, at a time, before long, in a minute, swith, directly, in no time, incontinent, subito, without_delay, in real time, shortly, tout de suite, away, soon, presently, in a few seconds, very fast, chop",top2/123.mp3
女兒,"nǔér (女兒, 女儿)","daughter, girl",top2/124.mp3
數,"shù (數, 数)",det.: several,top2/125.mp3
上課,"shàngkè (上課, 上课)","attend class, go to class;give lesson/lecture",top2/126.mp3
整合,"zhěnghé (整合, 整合)",integrate,top2/127.mp3
更多,"gèngduō (更多, 更多)",det.: more,top2/128.mp3
唯一,"wéiyī (唯一, 唯一)","sole, one and only, only, unique",top2/129.mp3
人數,"rénshù (人數, 人数)",number of people,top2/130.mp3
的確,"díquè (的確, 的确)","certainly, surely",top2/131.mp3
主題,"zhǔtí (主題, 主题)","motif, lemma, musical theme, theme, thesis, idea, literary argument, argument, motive, leitmotiv, matter, subject_matter, keynote, issue, subject, topic, mythos, melodic theme",top2/132.mp3
用戶,"yònghù (用戶, 用户)","customer, subscriber, enjoyer, user, consumer",top2/133.mp3
快速,"kuàisù (快速, 快速)","expeditious, high speed, fast, rapid, clip",top2/134.mp3
設施,"shèshī (設施, 设施)","installation, facilities",top2/135.mp3
文學,"wénxué (文學, 文学)","literary, philology, letters, letter, literature",top2/136.mp3
步,"bù (步, 步)",m.[activity],top2/137.mp3
那裡,"nàlǐ (那裡, 那里)",that place,top2/138.mp3
到,"dào (到, 到)",conj.: to,top2/139.mp3
美,"měi (美, 美)","beautiful, pretty",top2/140.mp3
需要,"xūyào (需要, 需要)","need, demand",top2/141.mp3
失去,"shīqù (失去, 失去)","desert, shear, outgrow, loss, lost, miss, lose",top2/142.mp3
做為,"zuòwéi (做為, 做为)","excuse, to be as, to look upon as, purport, roof, to take for, to regard as, look on as, regard as, take for",top2/143.mp3
複雜,"fùzá (複雜, 复杂)","complicated, complex",top2/144.mp3
屆,"jiè (屆, 届)",m.[event],top2/145.mp3
作用,"zuòyòng (作用, 作用)","action, function, effect, intention, motive",top2/146.mp3
調整,"tiáozhěng (調整, 调整)","adjust, readjust, regulate, restructure, balance",top2/147.mp3
佔,"zhàn (佔, 佔)","constitute, make up, account for",top2/148.mp3
要求,"yāoqiú (要求, 要求)","demand, request",top2/149.mp3
高中,"gāozhōng (高中, 高中)","senior middle school, senior high school, senior_high_school",top2/150.mp3
動作,"dòngzuò (動作, 动作)","demeanor, motion, behavior, performance, demeanour, play, turn, operation, operative, looseness, agency, gesticulation, movement, gesture, comportment, business, action, move",top2/151.mp3
模式,"móshì (模式, 模式)","example, normal, rule, formula, pattern, form, shape, style, way, mode, convention, fashion, model",top2/152.mp3
多,"duó (多, 多)","to what degree, how...",top2/153.mp3
吸引,"xīyǐn (吸引, 吸引)","engross, arrest, appeal, fascinate, attraction, fetch, draw, transfix, pull in, entrance, pull, enamour, spellbind, enamor, capture, trance, captivate, call, grip, fascination, absorb, bewitch, tempt, becharm, speak_to, fix, engage, catch, rivet, enchant, beguile, charm, seduce, take, enwrap, magnetize, draw in, attract",top2/154.mp3
記得,"jìde (記得, 记得)","come to mind, think back, remember, recollect, recall, rememberance, mind, retain, place, spring to mind, bear in mind",top2/155.mp3
賣,"mài (賣, 卖)","bring, parade, prostitute, make living at, go, sell out, show off, negotiate, exert to the utmost, tout, not spare, deal, betray, make living by, at, sell, make living by/at, betrayal, trade, fetch, market, bring in",top2/156.mp3
例,"lì (例, 例)","example, instance, precedent, case, rule, regulation",top2/157.mp3
推廣,"tuīguǎng (推廣, 推广)","popularize, spread, extend",top2/158.mp3
本來,"běnlái (本來, 本来)","originally, at first, of course",top2/159.mp3
具體,"jùtǐ (具體, 具体)","concrete, specific, particular",top2/160.mp3
太太,"tàitài (太太, 太太)","lady, memsahib, Dona, dona, Mrs, mum, Senora, senora, Mrs., mistress of a household, madam, Frau, goodwife, missus, senhora, married woman, wife, vrouw, Madame, madame, missis, wahine, Signora, signora",top2/161.mp3
之中,"zhīzhōng (之中, 之中)","inside,  among,  within",top2/162.mp3
宗教,"zōngjiào (宗教, 宗教)","theology, community, religious, cult, creed, faith, religion",top2/163.mp3
舊,"jiù (舊, 旧)","old, aged, onetime, bygone, used, worn, past, former",top2/164.mp3
反應,"fǎnyìng (反應, 反应)","reaction, response, repercussion",top2/165.mp3
觀眾,"guānzhòng (觀眾, 观众)","onlooker, TV audience, attendance, audience, spectator, viewers, followers, crowd, gallery, viewer, following, house, viewing audience",top2/166.mp3
立場,"lìchǎng (立場, 立场)","view, stance, language, stand, ground, capacity, standing, situation, position, perspective, standpoint, stand point",top2/167.mp3
旅遊,"lǔyóu (旅遊, 旅遊)",travel,top2/168.mp3
因而,"yīnér (因而, 因而)",conj.: consequently,top2/169.mp3
理念,"lǐniàn (理念, 理念)","sense, conception, idea",top2/170.mp3
它們,"tāmen (它們, 它们)","they, they non human",top2/171.mp3
上面,"shàngmiàn (上面, 上面)","surface of, aspect, higher authority, upper side, the higher authorities, on top/surface of, on surface of, top, the higher ups, top side, upside, on top of, respect, above, on top, regard",top2/172.mp3
回,"huí (回, 回)","return, go back",top2/173.mp3
支,"zhī (支, 支)",m.[general],top2/174.mp3
少年,"shàonián (少年, 少年)","nipper, covey, early youth 10 16",top2/175.mp3
輔導,"fǔdǎo (輔導, 辅导)","coach, tutor",top2/176.mp3
爭取,"zhēngqǔ (爭取, 争取)","strive for, fight for, wrangle, work hard for, contest, go for, strive/fight for, contend, try_for, woo, try for, strive, win over, scramble, do all one can to",top2/177.mp3
想到,"xiǎngdào (想到, 想到)","imagine, ideate, think, envisage, anticipate, bethink, dream, recollect, think_of, call to mind, think of, occur, conceive of",top2/178.mp3
可能,"kěnéng (可能, 可能)","possible,  probable",top2/179.mp3
尊重,"zūnzhòng (尊重, 尊重)","respect, value, esteem",top2/180.mp3
替,"tì (替, 替)","for, on behalf of",top2/181.mp3
地點,"dìdiǎn (地點, 地点)","location, site, locale, locality, topographic point, point, venue, spot, situs, land site, place, locus",top2/182.mp3
何,"hé (何, 何)","det.: which, what",top2/183.mp3
黨,"dǎng (黨, 党)","section, Dang, political party, CCP, KMT, Ku_Klux_Klan, clique, The Party, party, tong, kinsfolk, the Party, faction, gang",top2/184.mp3
進步,"jìnbù (進步, 进步)","progress, advance, improve",top2/185.mp3
欲,"yū (欲, 欲)","choose, wish, care, want, desire, incline, propose",top2/186.mp3
危機,"wéijī (危機, 危机)","ambush, clutch, climacteric, crisis, precipice, hump, conjuncture, juncture, sharpness, gravity, edge",top2/187.mp3
正常,"zhèngcháng (正常, 正常)","normal, regular",top2/188.mp3
角度,"jiǎodù (角度, 角度)","aspect, perspective, degree, arcdegree, point of view, angle",top2/189.mp3
尚未,"shàngwèi (尚未, 尚未)","as yet, til now, heretofore, yet, thus far, so far, until now, up to now, hitherto, not_yet, not yet",top2/190.mp3
院長,"yuànzhǎng (院長, 院长)","director/president of museum/institute/etc. ,  head of branch of government",top2/191.mp3
習慣,"xíguàn (習慣, 习惯)","habit, custom",top2/192.mp3
期,"qí (期, 期)",m.[event],top2/193.mp3
環保,"huánbǎo (環保, 环保)",environmental protection,top2/194.mp3
交流,"jiāoliú (交流, 交流)","exchange, interflow, interchange",top2/195.mp3
困難,"kùnnán (困難, 困难)",difficult,top2/196.mp3
完整,"wánzhěng (完整, 完整)","complete, integrated, intact",top2/197.mp3
費用,"fèiyòng (費用, 费用)","tax, cost, expense, expenditure, due, rate, exes, outlay, outgo, fee, terms, toll, price, disbursement, fare, expenses, disbursal, retainer, pay, damage, charge, monetary value, consideration, outgoing",top2/198.mp3
上述,"shàngshù (上述, 上述)",above mentioned,top2/199.mp3
呈現,"chéngxiàn (呈現, 呈现)","assume, crop out, dish, appearance, show, lay out, present, basset, appear, take_on, emergence, emerge, come forth",top2/200.mp3
照顧,"zhàogù (照顧, 照顾)","look after, care for, attend to, patronize as customer",top2/201.mp3
達成,"dáchéng (達成, 达成)",reach an agreement,top2/202.mp3
批,"pī (批, 批)",m.[general],top2/203.mp3
培養,"péiyǎng (培養, 培养)","foster, train, develop, culture",top2/204.mp3
垃圾,"lèsè (垃圾, 垃圾)","leavings, crap, sordes, trumpery, culch, garbage, filth, debris, cultch, sweeping, trashery, raffle, slush, truck, detritus, rubbish, trash, dirt, muck, litter, offscouring, offal, rubble, recrement, dust, rejectamenta, refuse, junk, gook",top2/205.mp3
圖,"tú (圖, 图)","picture, drawing, chart, map",top2/206.mp3
擴大,"kuòdà (擴大, 扩大)","enlarge, expand, extend, swell, dilate",top2/207.mp3
篇,"piān (篇, 篇)",m.[general],top2/208.mp3
比例,"bǐlì (比例, 比例)","proportional, rate, proportionality, quotient, proportion, proportionment, scale, ratio, balance",top2/209.mp3
風格,"fēnggé (風格, 风格)","plan, signature, idiom, kind, aroma, manner, idiosyncrasy, negligence, style, mode, tone, expressive style, artistic style, touch",top2/210.mp3
難以,"nányǐ (難以, 难以)",be difficult to,top2/211.mp3
機關,"jīguān (機關, 机关)","mechanism, stratagem, scheme, intrigue",top2/212.mp3
情緒,"qíngxù (情緒, 情绪)","form, pulse, humor, depression, temper, feeling, spirits, monkey, emotion, sentiment, humour, soulfulness, mood, heartbeat, heartstrings, sulks, chord, vein, feelings, emotional state, spirit, frame_of_mind, sentiments, moodiness, emotions, steam, tune, soul",top2/213.mp3
勞工,"láogōng (勞工, 劳工)","work_force, navvy, galley slave, manual laborer, labor, mazdoor, peon, proletariat, working class, laborer, worker, workman, industrialist, labour, drudge, workingman, labourer",top2/214.mp3
一旦,"yīdàn (一旦, 一旦)","conj.: once,  some time or other",top2/215.mp3
多媒體,"duōméitǐ (多媒體, 多媒体)",multi media,top2/216.mp3
求,"qiú (求, 求)","seek, try, strive for",top2/217.mp3
絕對,"juéduì (絕對, 绝对)","absolutely, definitely",top2/218.mp3
資料庫,"zīliàokù (資料庫, 资料库)","data bank, database, data base, databank",top2/219.mp3
選舉,"xuǎnjǔ (選舉, 选举)",election,top2/220.mp3
不可能,"bùkěnéng (不可能, 不可能)",impossibly,top2/221.mp3
馬上,"mǎshàng (馬上, 马上)","in a short time, at_once, instantaneously, promptly, at once, incontinent, in the same breath, directively, instantly, slapbang, pronto, right_away, immediately, shortly, without delay, right away, tout de suite, forthwith, presently, in_no_time, at a time, soon, hereupon, in a few seconds, before long, at one time, outright, straightaway, in a minute, directly, momently, in a f",top2/222.mp3
說話,"shuōhuà (說話, 说话)","philosophize, thrum, talk, peach, babble out, speech, articulate, chat, speak, babble, gossip, blab out, sing, address, tattle, blab, mouth, say",top2/223.mp3
享受,"xiǎngshòu (享受, 享受)",enjoy,top2/224.mp3
工廠,"gōngchǎng (工廠, 工厂)","layout, mill, factory, remuneration, workshop, industrial plant, plant, hacienda, manufactory, works, shop",top2/225.mp3
食物,"shíwù (食物, 食物)","scran, board, ingesta, sustentation, provender, viand, chow, aliment, pabulum, edibles, prog, nurture, cheer, eatable, edible, alimentary, eatables, chowchow, nutrient, diet, bread, trencher, sustenance, nutriment, nosh, nutrition, victuals, cib., vivers, eating, toke, meat, cib, grub, peck, viands, comestible, nourishment, fare, victual, food, commons, fodder, scoff, victualage, muckamuck, ta",top2/226.mp3
消息,"xiāoxí (消息, 消息)","communication, witting, message, item, news, peep, info, intelligence, notice, information, advertisement, tidings, advert, word",top2/227.mp3
番,"fān (番, 番)",m.[event],top2/228.mp3
趨勢,"qūshì (趨勢, 趋势)","stream, gravitation, tendency, wind, tide, drift, sequel, trend, current, direction, inclination, tendence, momentum, flow",top2/229.mp3
房子,"fángzi (房子, 房子)","building of less than three stories , room, building, property, house",top2/230.mp3
觀點,"guāndiǎn (觀點, 观点)","view, aspect, stand, point_of_view, light, eyes, framework, sentiment, bet, standpoint, point of view, eye, viewpoint, slant, perspective, position, angle",top2/231.mp3
購買,"gòumǎi (購買, 购买)","invest, take, buy, make purchases, go shopping, purchase",top2/232.mp3
普遍,"pǔbiàn (普遍, 普遍)","universal, general, widespread, common",top2/233.mp3
設立,"shèlì (設立, 设立)","establish, found",top2/234.mp3
差異,"chāyì (差異, 差异)","gap, departure, spread, variance, divergence, difference, diversity, discrepancy, imparity, disparity, contrast, interval, differentia, distinction",top2/235.mp3
差,"chā (差, 差)","be short, lack",top2/236.mp3
另外,"lìngwài (另外, 另外)","in addition, moreover, besides",top2/237.mp3
統一,"tǒngyī (統一, 统一)","unify, unite, integrate",top2/238.mp3
青年,"qīngnián (青年, 青年)","young people, adolescent, youngster, springal, boy, youth, youths, stripling, young, hobbledehoy, younker",top2/239.mp3
行政院,"xíngzhèngyuàn (行政院, 行政院)",Executive Yuan,top2/240.mp3
規模,"guīmó (規模, 规模)","magnitude, dimensions, extent, scale, scope",top2/241.mp3
股,"gǔ (股, 股)",m.[general],top2/242.mp3
破壞,"pòhuài (破壞, 破坏)","violate, destroy",top2/243.mp3
想要,"xiǎngyào (想要, 想要)","please, wish, like, desire, desirable, desiderate, purport, feel_like, wish well, propose, desired, purpose, direct, want to, feel like, aim, want, calculate",top2/244.mp3
換,"huàn (換, 换)","adjourn, barter, exchange, commute, reseat, trade, conversion, convert, change",top2/245.mp3
選,"xuǎn (選, 选)","select, pick, elect, choose, take, pick out, van",top2/246.mp3
人力,"rénlì (人力, 人力)","strength, manpower, resources, manual labor",top2/247.mp3
水準,"shuǐzhǔn (水準, 水准)","level, plane, standard",top2/248.mp3
首,"shǒu (首, 首)",m.[general],top2/249.mp3
河川,"héchuān (河川, 河川)","river and creek, rivers, river",top2/250.mp3
文字,"wénzì (文字, 文字)","writing, phraseology, writing style, language, endearment, script, written language, text, writing phraseology, writing style/phraseology, character, textual, characters, symbolic representation, version, word sign, literal, letter, word, literalness",top2/251.mp3
立即,"lìjí (立即, 立即)","at_once, off hand, promptly, at once, down, instantly, directively, straightway, herewith, thereupon, ex tempore, without_delay, pronto, right_away, instant, straight, immediately, in_short_order, right away, instanter, straightaway, in short order, off the",top2/252.mp3
適當,"shìdàng (適當, 适当)","beseem, proper, suitable, suit",top2/253.mp3
醫師,"yīshī (醫師, 医师)","medico, MD, Aesculapius, physician, hakim, leech, Dr., powwow, medic, Aesculapian, doc, doctor",top2/254.mp3
