消滅,"xiāomiè (消滅, 消灭)","eradicate,die out,eliminate,abolish,wipe out,annihilate,kill,slake,decimate,carry off,disappear,exterminate,lapse,expunge,abolition,knock out,quell,destroy,pass away,kill off,deafen,extermination,detruncate,liquidate,snuff_out,snuff out,extirpate,snuff,elimination,perish,discreate,vanish,extinguish",top7/144.mp3
透明,"tòumíng (透明, 透明)","diaphanous,see through,crystalline,transparent",top7/145.mp3
連絡,"liánluò (連絡, 连络)",contact,top7/146.mp3
追逐,"zhuīzhú (追逐, 追逐)","pursue,chase,seek",top7/147.mp3
不可或缺,"bùkěhuòquē (不可或缺, 不可或缺)",indispensable,top7/148.mp3
同,"tóng (同, 同)",be same as,top7/149.mp3
壯,"zhuàng (壯, 壮)","strong,make better,sturdy,magnificent,robust,make stronger,strengthen,make better/stronger",top7/150.mp3
老,"lǎo (老, 老)","always doing sth. ,for a long time,very",top7/151.mp3
來回,"láihuí (來回, 来回)","go to a place and come back,make a round trip,make a return journey,move to and fro,move back and forth,go to and fro",top7/152.mp3
君子,"jūnzǐ (君子, 君子)","a man of noble character,man of noble character,gentleman,man of worth,sovereign",top7/153.mp3
放學,"fàngxué (放學, 放学)","have winter holidays,classes are over,finish classes,have summer holidays,finish classes for the day",top7/154.mp3
判決,"pànjué (判決, 判决)",adjudge,top7/155.mp3
射,"shè (射, 射)","loose,discharge in a jet,insinuate,go off,allude to,discharge,send out,fire,firing,shooting,emit,deliver,shoot",top7/156.mp3
合,"hé (合, 合)","be equal to,amount to",top7/157.mp3
東海,"dōnghǎi (東海, 东海)","East China Sea,Donghai Sea",top7/158.mp3
流浪,"liúlàng (流浪, 流浪)",lead vagrant life,top7/159.mp3
孩童,"háitóng (孩童, 孩童)",children,top7/160.mp3
穿上,"chuānshàng (穿上, 穿上)","assume,wear,put_on,slip,enclothe,put on",top7/161.mp3
異議,"yìyì (異議, 异议)","remonstrance,dissent,expostulation,exception,dissidence,protestation,demur,objection,demurrer",top7/162.mp3
整整,"zhěngzhěng (整整, 整整)","fully,full,whole",top7/163.mp3
心境,"xīnjìng (心境, 心境)","state/frame of mind, mood",top7/164.mp3
榮總,"róngzǒng (榮總, 荣总)",Veterans General Hospital,top7/165.mp3
優雅,"yōuyǎ (優雅, 优雅)","graceful,elegant,gracious",top7/166.mp3
駕駛,"jiàshǐ (駕駛, 驾驶)","drive vehicle ,pilot ship/plane",top7/167.mp3
錄音,"lùyīn (錄音, 录音)",record sound,top7/168.mp3
圖像,"túxiàng (圖像, 图像)","picture,graph,icon,image",top7/169.mp3
檢視,"jiǎnshì (檢視, 检视)",overlook,top7/170.mp3
遺忘,"yíwàng (遺忘, 遗忘)","misplace,bury,neglect,leave behind,escape,leave,elude,mislay,leave_behind,forget",top7/171.mp3
鋼,"gāng (鋼, 钢)",steel,top7/172.mp3
實例,"shílì (實例, 实例)","example,exemplar,specimen,deuce,instance,concrete example",top7/173.mp3
山林,"shānlín (山林, 山林)",mountain forest,top7/174.mp3
煩惱,"fánnǎo (煩惱, 烦恼)","vexed,worried",top7/175.mp3
愛丁堡,"àidīngbǎo (愛丁堡, 爱丁堡)",Edinburgh,top7/176.mp3
期盼,"qípàn (期盼, 期盼)",look forward to,top7/177.mp3
菩薩,"púsà (菩薩, 菩萨)","Buddhist idol,a term applied to a kindhearted person,kindhearted person,Bodhisattva,joss,Buddha,Boddhisatva",top7/178.mp3
距,"jù (距, 距)",be apart/away from,top7/179.mp3
說服,"shuìfú (說服, 说服)","persuade,talk sb. over",top7/180.mp3
裝飾,"zhuāngshì (裝飾, 装饰)",ornament,top7/181.mp3
越南,"yuènán (越南, 越南)","Viet Nam,Vietnam,nam,Annam",top7/182.mp3
象,"xiàng (象, 象)",elephant,top7/183.mp3
餅,"bǐng (餅, 饼)","round flat cake,dumpling,pancake,tortilla,goody,cake,sth. shaped like a cake,a round flat cake",top7/184.mp3
總公司,"zǒnggōngsī (總公司, 总公司)","main office,home office,headquaters,head office,main_office,home_office,front office,central office,headquarters",top7/185.mp3
極力,"jílì (極力, 极力)","sparing no effort,spare no effort,doing one's utmost,do one's utmost to",top7/186.mp3
大賽,"dàsài (大賽, 大赛)","race,game,tournament,contest",top7/187.mp3
失落,"shīluò (失落, 失落)",lose,top7/188.mp3
觀看,"guānkàn (觀看, 观看)","eye,view,watch,spectate,eyeball",top7/189.mp3
全壘打,"quánlěidǎ (全壘打, 全垒打)","fourbagger,round tripper,swot,swat,home_run,home run,home run baseball ,homer",top7/190.mp3
撰寫,"zhuànxiě (撰寫, 撰写)",write,top7/191.mp3
無情,"wúqíng (無情, 无情)","merciless,harden,heartless,ruthless",top7/192.mp3
過關,"guòguān (過關, 过关)","reach standard,pass a barrier,reach a standard,pass test,pass barrier,pass,go through ordeal,pass a test,go through an ordeal",top7/193.mp3
傳奇,"chuánqí (傳奇, 传奇)","legendry,romance,Tang and Song short stories,Ming and Qing poetic dramas,fable,short_story,legend",top7/194.mp3
散,"sàn (散, 散)",break up,top7/195.mp3
超商,"chāoshāng (超商, 超商)",convenience store,top7/196.mp3
魚類,"yūlèi (魚類, 鱼类)","Pisces,fin,fish,race of fishes,fish as a general category",top7/197.mp3
準確,"zhǔnquè (準確, 准确)","accurate,exact,precise",top7/198.mp3
震撼,"zhènhàn (震撼, 震撼)","shock,shake",top7/199.mp3
摔,"shuāi (摔, 摔)","throw,cast/throw down/off,drop,plunge,lose one's balance,off,swing,fall,tumble,throw down,cause to fall and break,cast down,cast,hurtle down,throw off,move backward and forward,fling,break",top7/200.mp3
踏,"tà (踏, 踏)","tread,trample,stamp,step,step on",top7/201.mp3
增設,"zēngshè (增設, 增设)","add,add on",top7/202.mp3
採訪,"cǎifǎng (採訪, 采访)","cover,interview,gather news",top7/203.mp3
歐,"ōu (歐, 欧)",short name for Europe,top7/204.mp3
常態,"chángtài (常態, 常态)","normal,normalcy,normal conditions,normality,order,conditions,normal behavior/conditions,normal behavior",top7/205.mp3
檢舉,"jiǎnjǔ (檢舉, 检举)","report offense ,inform against offender",top7/206.mp3
零件,"língjiàn (零件, 零件)","section,part,components,spares,spare parts,parts,accessory",top7/207.mp3
潛在,"qiánzài (潛在, 潜在)","potential,latent",top7/208.mp3
質量,"zhíliàng (質量, 质量)","weight,molar,mass,quantity,quality",top7/209.mp3
橋樑,"liáng (橋樑, 桥樑)",bridge lit./fig.,top7/210.mp3
回答,"huídá (回答, 回答)",answer,top7/211.mp3
北韓,"běihán (北韓, 北韩)",North Korea,top7/212.mp3
反倒,"fǎndào (反倒, 反倒)","conj.: on the contrary, instead",top7/213.mp3
北美,"běiměi (北美, 北美)","North_America,North America",top7/214.mp3
主意,"zhǔyì (主意, 主意)","idea, plan, decision, definite view",top7/215.mp3
親身,"qīnshēn (親身, 亲身)","in person,personally,first hand",top7/216.mp3
冰,"bīng (冰, 冰)",ice,top7/217.mp3
早餐,"zǎocān (早餐, 早餐)","breaker,petit dejeuner,brekker,dejeuner,breakfast,morning tea",top7/218.mp3
更換,"gēnghuàn (更換, 更换)","change,replace",top7/219.mp3
改建,"gǎijiàn (改建, 改建)","reconstruct,rebuild",top7/220.mp3
利息,"lìxí (利息, 利息)","premium,usury,accrual,interest",top7/221.mp3
中央,"zhōngyāng (中央, 中央)","center,middle",top7/222.mp3
竹子,"zhúzi5 (竹子, 竹子)",bamboo,top7/223.mp3
升高,"shēnggāo (升高, 升高)","up,hike,ascend,come up,arise,move up,climb,go up,lift,wax,loft,soar,heighten,rise,mount,escalate",top7/224.mp3
波動,"bōdòng (波動, 波动)","undulate,fluctuate",top7/225.mp3
成交,"chéngjiāo (成交, 成交)","conclude a transaction,clinch a deal,strike a bargain,close a deal",top7/226.mp3
情人,"qíngrén (情人, 情人)","inamorato,steady,sweetie,Gill,jo,girlfriend,swain,valentine,paramour,turtledove,jill,girl,sweetling,mouse,heart throb,lassie,truelove,soul mate,flame,ladybird,ladylove,lover,sweetheart,mistress,admirer,hon,lovey,inamorata,honeybunch,turtle,sweeting,bedmate",top7/227.mp3
終止,"zhōngzhǐ (終止, 终止)","stop,end",top7/228.mp3
野外,"yěwài (野外, 野外)","air,out of doors,open,outdoors,open air,open country,balefire,field",top7/229.mp3
軟硬體,"ruǎnyìngtǐ (軟硬體, 软硬体)",software and hardware,top7/230.mp3
到來,"dàolái (到來, 到来)",arrive,top7/231.mp3
規矩,"guījǔ (規矩, 规矩)","rule,custom",top7/232.mp3
俗稱,"súchēng (俗稱, 俗称)","be commonly called...,be commonly called,be commonly known as...",top7/233.mp3
況且,"kuàngqiě (況且, 况且)","conj.: moreover,besides,in addition",top7/234.mp3
風俗,"fēngsú (風俗, 风俗)","mores,custom,public decency,manner,institution,ritual,Sunna,manners,rite,guise",top7/235.mp3
死者,"sǐzhě (死者, 死者)","deceased person,dead,deceased,slain,the dead,departed,dead soul,decedent,the dead/departed,the deceased,the departed,dead person",top7/236.mp3
村子,"cūnzi5 (村子, 村子)","small town,village,settlement,hamlet",top7/237.mp3
討好,"tǎohǎo (討好, 讨好)","conciliate,have one's labor rewarded,blandish,accommodate,toady,oblige,toady to,curry favour with,grease,massage,propitiate,woo,fawn on,sugar,soft soap,ingratiate,ingratiate oneself with",top7/238.mp3
難忘,"nánwàng (難忘, 难忘)","unforgettable,memorable",top7/239.mp3
警分局,"jǐngfēnjú (警分局, 警分局)",branch office of police bureau,top7/240.mp3
藝文,"yìwén (藝文, 艺文)",art and literature,top7/241.mp3
盼,"pàn (盼, 盼)","hope/long for,expect",top7/242.mp3
解說,"jiěshuō (解說, 解说)","explain orally,appease",top7/243.mp3
藉口,"jièkǒu (藉口, 藉口)","excuse,pretext",top7/244.mp3
發燒,"fāshāo (發燒, 发烧)","fever,kindle,feverish,temperature,run a temperature,run a fever,have a fever,have a temperature",top7/245.mp3
堂,"táng (堂, 堂)",m.[event],top7/246.mp3
狹窄,"xiázhǎi (狹窄, 狭窄)","narrow,bottleneck,narrow and limited,cramped",top7/247.mp3
通行,"tōngxíng (通行, 通行)","pass/go through,be current or of general use",top7/248.mp3
國代,"guódài (國代, 国代)",representative to People's Congress,top7/249.mp3
殺害,"shāhài (殺害, 杀害)","cut_down,liquidate,killing,kill,slay,cut_off,grease,remove,murder,destroy,do in,waste,ice,knock off",top7/250.mp3
保母,"bǎomǔ (保母, 保母)",baby sitter,top7/251.mp3
林立,"línlì (林立, 林立)",stand in great numbers,top7/252.mp3
科長,"kēzhǎng (科長, 科长)",section chief,top7/253.mp3
孫子,"sūnzi5 (孫子, 孙子)","son's son,grandson",top7/254.mp3
籌碼,"chóumǎ (籌碼, 筹码)","counter,jetton,dib,poker chip,chip,bargaining chip,medium_of_exchange",top7/255.mp3
放鬆,"fàngsōng (放鬆, 放松)","relax,slacken,loosen",top7/256.mp3
收購,"shōugòu (收購, 收购)","purchase,buy",top7/257.mp3
地下室,"dìxiàshì (地下室, 地下室)","rumpus_room,soutane,undercroft,rooms built below ground,ground_floor,serdab,cellar,hypogeum,crypt,subterranean,silo,subterrane,souterrain,vault,cellarage,basement",top7/258.mp3
竹東,"zhúdōng (竹東, 竹东)",Zhu Dong town in Taiwan,top7/259.mp3
佔地,"zhàndì (佔地, 佔地)","cover,cover an area of,occupy space",top7/260.mp3
抗體,"kàngtǐ (抗體, 抗体)",antibody,top7/261.mp3
砍,"kǎn (砍, 砍)","ax,hack,cut,shear,hew,chop_down,whack,carbonado,throw sth. at,hag,fall,chop",top7/262.mp3
向量,"xiàngliàng (向量, 向量)","vector,vector quantities,vectorial",top7/263.mp3
容許,"róngxǔ (容許, 容许)","let_in,have,receive,can,permission,permit,allow for,may,adhibit,might,admissive,provide for,admit,concede,cede,leave,suffer,tolerate,allow",top7/264.mp3
存有,"cúnyǒu (存有, 存有)","harbour,entertain,cherish,harbor,inhere",top7/265.mp3
免,"miǎn (免, 免)","duty free,be not allowed",top7/266.mp3
軍方,"jūnfāng (軍方, 军方)","armed forces,the military,military",top7/267.mp3
面子,"miànzi5 (面子, 面子)","reputation,face,prestige",top7/268.mp3
視聽,"shìtīng (視聽, 视听)","seeing and hearing,audiovisual",top7/269.mp3
切,"qiē (切, 切)","cut,slice",top7/270.mp3
顯示器,"xiǎnshìqì (顯示器, 显示器)","monitor,display,caller ID,indicator",top7/271.mp3
邁進,"màijìn (邁進, 迈进)","forge ahead,stride forward,advance with big strides",top7/272.mp3
聽起來,"tīngqǐlái (聽起來, 听起来)",it sounds like,top7/273.mp3
平凡,"píngfán (平凡, 平凡)","ordinary,common",top7/274.mp3
口袋,"kǒudài (口袋, 口袋)",pocket,top7/275.mp3
分區,"fēnqū (分區, 分区)","zone, district",top7/276.mp3
大隊,"dàduì (大隊, 大队)","a military group, production brigade, a large number of",top7/277.mp3
功,"gōng (功, 功)","meritorious service, exploit, achievement, result, effect, skill",top7/278.mp3
心事,"xīnshì (心事, 心事)","weight on one's mind, worry",top7/279.mp3
意象,"yìxiàng (意象, 意象)","imagery,mental picture,thought,picture,idea,impression,image",top7/280.mp3
一般,"yībān (一般, 一般)",alike,top7/281.mp3
華麗,"huálì (華麗, 华丽)","magnificent,gorgeous",top7/282.mp3
下山,"xiàshān (下山, 下山)","descend mountain,descend hill",top7/283.mp3
預備,"yūbèi (預備, 预备)","get ready,dight,set,ready,busk,preparation,store,set up,prepare,line,gear up,provide_for,provide,equip,outfit",top7/284.mp3
猶豫,"yóuyū (猶豫, 犹豫)","hesitant,fudge,oscillate,stagger,waver,be irresolute,scruple,irresolute,crane,pause,yo yo,vacillate,hang,weaken,boggle,swither,dacker,balk,demur,swiver,hesitate",top7/285.mp3
不見了,"bújiànle5 (不見了, 不见了)","be missing,disappear",top7/286.mp3
殖民,"zhímín (殖民, 殖民)","settle,plant,colonize,populate,establish colony,establish a colony",top7/287.mp3
德,"dé (德, 德)",Germany,top7/288.mp3
對付,"duìfù (對付, 对付)","counter,deal/cope with,face,confront,cope with,fix,make do,handle,deal,tackle,deal with",top7/289.mp3
獎學金,"jiǎngxuéjīn (獎學金, 奖学金)","burse,stipend,foundation,exhibition,studentship,scholarship",top7/290.mp3
蔣介石,"jiǎngjièshí (蔣介石, 蒋介石)","Kuomingtang party leader and head of Nat,Kuomingtang party leader and head of Nationalist Government in mainland China and Taiwan,Jiang Jieshi",top7/291.mp3
對照,"duìzhào (對照, 对照)","contrast,compare",top7/292.mp3
輝煌,"huīhuáng (輝煌, 辉煌)","glorious,effulgent,brilliant",top7/293.mp3
慘,"cǎn (慘, 惨)","tragic,gloomy,savage,sorrowful,cruel,pitiful,miserable,dark",top7/294.mp3
擅長,"shàncháng (擅長, 擅长)","excel,surpass,stand out,be good at,be skilled in,be expert in",top7/295.mp3
黑暗,"hēiàn (黑暗, 黑暗)",dark,top7/296.mp3
